id,species,generation_id,height,weight,base_experience,type_1,type_2,hp,attack,defense,speed,special-attack,special-defense
38,ninetales,1,1.1,19.9,177,fire,,73,76,75,100,81,100
39,jigglypuff,1,0.5,5.5,95,normal,fairy,115,45,20,20,45,25
40,wigglytuff,1,1,12,196,normal,fairy,140,70,45,45,85,50
41,zubat,1,0.8,7.5,49,poison,flying,40,45,35,55,30,40
42,golbat,1,1.6,55,159,poison,flying,75,80,70,90,65,75
43,oddish,1,0.5,5.4,64,grass,poison,45,50,55,30,75,65
44,gloom,1,0.8,8.6,138,grass,poison,60,65,70,40,85,75
45,vileplume,1,1.2,18.6,221,grass,poison,75,80,85,50,110,90
46,paras,1,0.3,5.4,57,bug,grass,35,70,55,25,45,55
47,parasect,1,1,29.5,142,bug,grass,60,95,80,30,60,80
48,venonat,1,1,30,61,bug,poison,60,55,50,45,40,55
49,venomoth,1,1.5,12.5,158,bug,poison,70,65,60,90,90,75
50,diglett,1,0.2,0.8,53,ground,,10,55,25,95,35,45
51,dugtrio,1,0.7,33.3,149,ground,,35,100,50,120,50,70
52,meowth,1,0.4,4.2,58,normal,,40,45,35,90,40,40
53,persian,1,1,32,154,normal,,65,70,60,115,65,65
54,psyduck,1,0.8,19.6,64,water,,50,52,48,55,65,50
55,golduck,1,1.7,76.6,175,water,,80,82,78,85,95,80
56,mankey,1,0.5,28,61,fighting,,40,80,35,70,35,45
57,primeape,1,1,32,159,fighting,,65,105,60,95,60,70
58,growlithe,1,0.7,19,70,fire,,55,70,45,60,70,50
59,arcanine,1,1.9,155,194,fire,,90,110,80,95,100,80
60,poliwag,1,0.6,12.4,60,water,,40,50,40,90,40,40
61,poliwhirl,1,1,20,135,water,,65,65,65,90,50,50
62,poliwrath,1,1.3,54,230,water,fighting,90,95,95,70,70,90
63,abra,1,0.9,19.5,62,psychic,,25,20,15,90,105,55
64,kadabra,1,1.3,56.5,140,psychic,,40,35,30,105,120,70
65,alakazam,1,1.5,48,225,psychic,,55,50,45,120,135,95
66,machop,1,0.8,19.5,61,fighting,,70,80,50,35,35,35
67,machoke,1,1.5,70.5,142,fighting,,80,100,70,45,50,60
68,machamp,1,1.6,130,227,fighting,,90,130,80,55,65,85
69,bellsprout,1,0.7,4,60,grass,poison,50,75,35,40,70,30
70,weepinbell,1,1,6.4,137,grass,poison,65,90,50,55,85,45
71,victreebel,1,1.7,15.5,221,grass,poison,80,105,65,70,100,70
72,tentacool,1,0.9,45.5,67,water,poison,40,40,35,70,50,100
73,tentacruel,1,1.6,55,180,water,poison,80,70,65,100,80,120
74,geodude,1,0.4,20,60,rock,ground,40,80,100,20,30,30
75,graveler,1,1,105,137,rock,ground,55,95,115,35,45,45
76,golem,1,1.4,300,223,rock,ground,80,120,130,45,55,65
77,ponyta,1,1,30,82,fire,,50,85,55,90,65,65
78,rapidash,1,1.7,95,175,fire,,65,100,70,105,80,80
79,slowpoke,1,1.2,36,63,water,psychic,90,65,65,15,40,40
80,slowbro,1,1.6,78.5,172,water,psychic,95,75,110,30,100,80
81,magnemite,1,0.3,6,65,electric,steel,25,35,70,45,95,55
82,magneton,1,1,60,163,electric,steel,50,60,95,70,120,70
83,farfetchd,1,0.8,15,132,normal,flying,52,90,55,60,58,62
84,doduo,1,1.4,39.2,62,normal,flying,35,85,45,75,35,35
85,dodrio,1,1.8,85.2,165,normal,flying,60,110,70,110,60,60
86,seel,1,1.1,90,65,water,,65,45,55,45,45,70
87,dewgong,1,1.7,120,166,water,ice,90,70,80,70,70,95
88,grimer,1,0.9,30,65,poison,,80,80,50,25,40,50
89,muk,1,1.2,30,175,poison,,105,105,75,50,65,100
90,shellder,1,0.3,4,61,water,,30,65,100,40,45,25
91,cloyster,1,1.5,132.5,184,water,ice,50,95,180,70,85,45
92,gastly,1,1.3,0.1,62,ghost,poison,30,35,30,80,100,35
93,haunter,1,1.6,0.1,142,ghost,poison,45,50,45,95,115,55
94,gengar,1,1.5,40.5,225,ghost,poison,60,65,60,110,130,75
95,onix,1,8.8,210,77,rock,ground,35,45,160,70,30,45
96,drowzee,1,1,32.4,66,psychic,,60,48,45,42,43,90
97,hypno,1,1.6,75.6,169,psychic,,85,73,70,67,73,115
98,krabby,1,0.4,6.5,65,water,,30,105,90,50,25,25
99,kingler,1,1.3,60,166,water,,55,130,115,75,50,50
100,voltorb,1,0.5,10.4,66,electric,,40,30,50,100,55,55
101,electrode,1,1.2,66.6,172,electric,,60,50,70,150,80,80
102,exeggcute,1,0.4,2.5,65,grass,psychic,60,40,80,40,60,45
103,exeggutor,1,2,120,186,grass,psychic,95,95,85,55,125,75
104,cubone,1,0.4,6.5,64,ground,,50,50,95,35,40,50
105,marowak,1,1,45,149,ground,,60,80,110,45,50,80
